object_index,object_name,sam3_short,sam3_dense,sam3_instruction,sam3_negative,florence_short,florence_detailed,florence_tag,llava_short,llava_detailed,llava_dense,qwen_short,qwen_detailed,qwen_dense,clip_short,clip_dense,open_vocab_1,open_vocab_2,coco,densecap,vg_region,nocaps,retrieval,vqa,minimal,minimal_attr,synthetic_structured,object_only,shape_material,color_focus,category_only,segmentation_hard,segmentation_soft
10,chair,blue chair,a chair in blue color with a seat with legs and a backrest.,Segment only the blue chair in the scene.,Ignore all other objects and background; segment only the blue chair.,A chair in blue color.,A chair in blue color showing a seat with legs and a backrest as a distinct blue furniture.,"blue chair, furniture",a chair in blue color as the main furniture.,"A chair in blue color with clear a seat with legs and a backrest, standing out from the background.","A chair in blue color, detailed furniture object with a seat with legs and a backrest.",a chair in blue color.,A chair in blue color that can be recognized as a furniture with a seat with legs and a backrest.,"A chair in blue color acting as the primary furniture in the image, characterized by a seat with legs and a backrest.",blue chair,a seat with legs and a backrest furniture blue chair,A distinctive furniture: blue chair.,"Unique furniture instance, namely a chair in blue color.",A chair in blue color is visible in the scene.,A chair in blue color with a seat with legs and a backrest is located prominently.,A chair in blue color serving as a furniture region.,A chair in blue color appears as the key furniture.,"blue chair, a furniture with a seat with legs and a backrest.",The object is a chair in blue color.,blue chair,furniture blue chair,object=chair; type=furniture; color=blue; detail=a seat with legs and a backrest,a chair in blue color.,A chair in blue color with shape and structure described as: a seat with legs and a backrest.,A chair in blue color whose appearance is dominated by blue tones.,blue furniture,Strictly select the blue chair mask and exclude every other object and background pixel.,Focus the segmentation on the blue chair region as the main furniture.
11,clock,gray and brown clock,a clock in gray and brown color with a circular face with numbers or marks.,Segment only the gray clock in the scene.,Ignore all other objects and background; segment only the gray clock.,A clock in gray and brown color.,A clock in gray and brown color showing a circular face with numbers or marks as a distinct gray and brown household object.,"gray clock, household object",a clock in gray and brown color as the main household object.,"A clock in gray and brown color with clear a circular face with numbers or marks, standing out from the background.","A clock in gray and brown color, detailed household object object with a circular face with numbers or marks.",a clock in gray and brown color.,A clock in gray and brown color that can be recognized as a household object with a circular face with numbers or marks.,"A clock in gray and brown color acting as the primary household object in the image, characterized by a circular face with numbers or marks.",gray and brown clock,a circular face with numbers or marks household object gray clock,A distinctive household object: gray clock.,"Unique household object instance, namely a clock in gray and brown color.",A clock in gray and brown color is visible in the scene.,A clock in gray and brown color with a circular face with numbers or marks is located prominently.,A clock in gray and brown color serving as a household object region.,A clock in gray and brown color appears as the key household object.,"gray and brown clock, a household object with a circular face with numbers or marks.",The object is a clock in gray and brown color.,gray clock,household object gray clock,object=clock; type=household object; color=gray and brown; detail=a circular face with numbers or marks,a clock in gray and brown color.,A clock in gray and brown color with shape and structure described as: a circular face with numbers or marks.,A clock in gray and brown color whose appearance is dominated by gray and brown tones.,gray and brown household object,Strictly select the gray clock mask and exclude every other object and background pixel.,Focus the segmentation on the gray clock region as the main household object.
12,colorful_sneaker,white and gray colorful sneaker shoe,"a colorful sneaker shoe in white and gray color with laces, sole and multiple bright color panels.",Segment only the white colorful sneaker in the scene.,Ignore all other objects and background; segment only the white colorful sneaker.,A colorful sneaker shoe in white and gray color.,"A colorful sneaker shoe in white and gray color showing laces, sole and multiple bright color panels as a distinct white and gray shoe.","white colorful sneaker, shoe",a colorful sneaker shoe in white and gray color as the main shoe.,"A colorful sneaker shoe in white and gray color with clear laces, sole and multiple bright color panels, standing out from the background.","A colorful sneaker shoe in white and gray color, detailed shoe object with laces, sole and multiple bright color panels.",a colorful sneaker shoe in white and gray color.,"A colorful sneaker shoe in white and gray color that can be recognized as a shoe with laces, sole and multiple bright color panels.","A colorful sneaker shoe in white and gray color acting as the primary shoe in the image, characterized by laces, sole and multiple bright color panels.",white and gray colorful sneaker shoe,"laces, sole and multiple bright color panels shoe white colorful sneaker",A distinctive shoe: white colorful sneaker.,"Unique shoe instance, namely a colorful sneaker shoe in white and gray color.",A colorful sneaker shoe in white and gray color is visible in the scene.,"A colorful sneaker shoe in white and gray color with laces, sole and multiple bright color panels is located prominently.",A colorful sneaker shoe in white and gray color serving as a shoe region.,A colorful sneaker shoe in white and gray color appears as the key shoe.,"white and gray colorful sneaker shoe, a shoe with laces, sole and multiple bright color panels.",The object is a colorful sneaker shoe in white and gray color.,white colorful sneaker,shoe white colorful sneaker,"object=colorful sneaker; type=shoe; color=white and gray; detail=laces, sole and multiple bright color panels",a colorful sneaker shoe in white and gray color.,"A colorful sneaker shoe in white and gray color with shape and structure described as: laces, sole and multiple bright color panels.",A colorful sneaker shoe in white and gray color whose appearance is dominated by white and gray tones.,white and gray shoe,Strictly select the white colorful sneaker mask and exclude every other object and background pixel.,Focus the segmentation on the white colorful sneaker region as the main shoe.
13,colorful_teapot,blue and orange colorful ceramic teapot,"a colorful ceramic teapot in blue and orange color with a round ceramic body with painted patterns, lid, spout and handle.",Segment only the blue colorful ceramic teapot in the scene.,Ignore all other objects and background; segment only the blue colorful ceramic teapot.,A colorful ceramic teapot in blue and orange color.,"A colorful ceramic teapot in blue and orange color showing a round ceramic body with painted patterns, lid, spout and handle as a distinct blue and orange kitchenware item.","blue colorful ceramic teapot, kitchenware item",a colorful ceramic teapot in blue and orange color as the main kitchenware item.,"A colorful ceramic teapot in blue and orange color with clear a round ceramic body with painted patterns, lid, spout and handle, standing out from the background.","A colorful ceramic teapot in blue and orange color, detailed kitchenware item object with a round ceramic body with painted patterns, lid, spout and handle.",a colorful ceramic teapot in blue and orange color.,"A colorful ceramic teapot in blue and orange color that can be recognized as a kitchenware item with a round ceramic body with painted patterns, lid, spout and handle.","A colorful ceramic teapot in blue and orange color acting as the primary kitchenware item in the image, characterized by a round ceramic body with painted patterns, lid, spout and handle.",blue and orange colorful ceramic teapot,"a round ceramic body with painted patterns, lid, spout and handle kitchenware item blue colorful ceramic teapot",A distinctive kitchenware item: blue colorful ceramic teapot.,"Unique kitchenware item instance, namely a colorful ceramic teapot in blue and orange color.",A colorful ceramic teapot in blue and orange color is visible in the scene.,"A colorful ceramic teapot in blue and orange color with a round ceramic body with painted patterns, lid, spout and handle is located prominently.",A colorful ceramic teapot in blue and orange color serving as a kitchenware item region.,A colorful ceramic teapot in blue and orange color appears as the key kitchenware item.,"blue and orange colorful ceramic teapot, a kitchenware item with a round ceramic body with painted patterns, lid, spout and handle.",The object is a colorful ceramic teapot in blue and orange color.,blue colorful ceramic teapot,kitchenware item blue colorful ceramic teapot,"object=colorful ceramic teapot; type=kitchenware item; color=blue and orange; detail=a round ceramic body with painted patterns, lid, spout and handle",a colorful ceramic teapot in blue and orange color.,"A colorful ceramic teapot in blue and orange color with shape and structure described as: a round ceramic body with painted patterns, lid, spout and handle.",A colorful ceramic teapot in blue and orange color whose appearance is dominated by blue and orange tones.,blue and orange kitchenware item,Strictly select the blue colorful ceramic teapot mask and exclude every other object and background pixel.,Focus the segmentation on the blue colorful ceramic teapot region as the main kitchenware item.
14,dog,brown and orange dog,"a dog in brown and orange color with fur, head, body and legs.",Segment only the brown dog in the scene.,Ignore all other objects and background; segment only the brown dog.,A dog in brown and orange color.,"A dog in brown and orange color showing fur, head, body and legs as a distinct brown and orange animal.","brown dog, animal",a dog in brown and orange color as the main animal.,"A dog in brown and orange color with clear fur, head, body and legs, standing out from the background.","A dog in brown and orange color, detailed animal object with fur, head, body and legs.",a dog in brown and orange color.,"A dog in brown and orange color that can be recognized as a animal with fur, head, body and legs.","A dog in brown and orange color acting as the primary animal in the image, characterized by fur, head, body and legs.",brown and orange dog,"fur, head, body and legs animal brown dog",A distinctive animal: brown dog.,"Unique animal instance, namely a dog in brown and orange color.",A dog in brown and orange color is visible in the scene.,"A dog in brown and orange color with fur, head, body and legs is located prominently.",A dog in brown and orange color serving as a animal region.,A dog in brown and orange color appears as the key animal.,"brown and orange dog, a animal with fur, head, body and legs.",The object is a dog in brown and orange color.,brown dog,animal brown dog,"object=dog; type=animal; color=brown and orange; detail=fur, head, body and legs",a dog in brown and orange color.,"A dog in brown and orange color with shape and structure described as: fur, head, body and legs.",A dog in brown and orange color whose appearance is dominated by brown and orange tones.,brown and orange animal,Strictly select the brown dog mask and exclude every other object and background pixel.,Focus the segmentation on the brown dog region as the main animal.
15,dog2,brown and orange dog,"a dog in brown and orange color with fur, head, body and legs.",Segment only the brown dog in the scene.,Ignore all other objects and background; segment only the brown dog.,A dog in brown and orange color.,"A dog in brown and orange color showing fur, head, body and legs as a distinct brown and orange animal.","brown dog, animal",a dog in brown and orange color as the main animal.,"A dog in brown and orange color with clear fur, head, body and legs, standing out from the background.","A dog in brown and orange color, detailed animal object with fur, head, body and legs.",a dog in brown and orange color.,"A dog in brown and orange color that can be recognized as a animal with fur, head, body and legs.","A dog in brown and orange color acting as the primary animal in the image, characterized by fur, head, body and legs.",brown and orange dog,"fur, head, body and legs animal brown dog",A distinctive animal: brown dog.,"Unique animal instance, namely a dog in brown and orange color.",A dog in brown and orange color is visible in the scene.,"A dog in brown and orange color with fur, head, body and legs is located prominently.",A dog in brown and orange color serving as a animal region.,A dog in brown and orange color appears as the key animal.,"brown and orange dog, a animal with fur, head, body and legs.",The object is a dog in brown and orange color.,brown dog,animal brown dog,"object=dog; type=animal; color=brown and orange; detail=fur, head, body and legs",a dog in brown and orange color.,"A dog in brown and orange color with shape and structure described as: fur, head, body and legs.",A dog in brown and orange color whose appearance is dominated by brown and orange tones.,brown and orange animal,Strictly select the brown dog mask and exclude every other object and background pixel.,Focus the segmentation on the brown dog region as the main animal.
16,dog3,gray and white dog,"a dog in gray and white color with fur, head, body and legs.",Segment only the gray dog in the scene.,Ignore all other objects and background; segment only the gray dog.,A dog in gray and white color.,"A dog in gray and white color showing fur, head, body and legs as a distinct gray and white animal.","gray dog, animal",a dog in gray and white color as the main animal.,"A dog in gray and white color with clear fur, head, body and legs, standing out from the background.","A dog in gray and white color, detailed animal object with fur, head, body and legs.",a dog in gray and white color.,"A dog in gray and white color that can be recognized as a animal with fur, head, body and legs.","A dog in gray and white color acting as the primary animal in the image, characterized by fur, head, body and legs.",gray and white dog,"fur, head, body and legs animal gray dog",A distinctive animal: gray dog.,"Unique animal instance, namely a dog in gray and white color.",A dog in gray and white color is visible in the scene.,"A dog in gray and white color with fur, head, body and legs is located prominently.",A dog in gray and white color serving as a animal region.,A dog in gray and white color appears as the key animal.,"gray and white dog, a animal with fur, head, body and legs.",The object is a dog in gray and white color.,gray dog,animal gray dog,"object=dog; type=animal; color=gray and white; detail=fur, head, body and legs",a dog in gray and white color.,"A dog in gray and white color with shape and structure described as: fur, head, body and legs.",A dog in gray and white color whose appearance is dominated by gray and white tones.,gray and white animal,Strictly select the gray dog mask and exclude every other object and background pixel.,Focus the segmentation on the gray dog region as the main animal.
17,dog4,orange and brown dog,"a dog in orange and brown color with fur, head, body and legs.",Segment only the orange dog in the scene.,Ignore all other objects and background; segment only the orange dog.,A dog in orange and brown color.,"A dog in orange and brown color showing fur, head, body and legs as a distinct orange and brown animal.","orange dog, animal",a dog in orange and brown color as the main animal.,"A dog in orange and brown color with clear fur, head, body and legs, standing out from the background.","A dog in orange and brown color, detailed animal object with fur, head, body and legs.",a dog in orange and brown color.,"A dog in orange and brown color that can be recognized as a animal with fur, head, body and legs.","A dog in orange and brown color acting as the primary animal in the image, characterized by fur, head, body and legs.",orange and brown dog,"fur, head, body and legs animal orange dog",A distinctive animal: orange dog.,"Unique animal instance, namely a dog in orange and brown color.",A dog in orange and brown color is visible in the scene.,"A dog in orange and brown color with fur, head, body and legs is located prominently.",A dog in orange and brown color serving as a animal region.,A dog in orange and brown color appears as the key animal.,"orange and brown dog, a animal with fur, head, body and legs.",The object is a dog in orange and brown color.,orange dog,animal orange dog,"object=dog; type=animal; color=orange and brown; detail=fur, head, body and legs",a dog in orange and brown color.,"A dog in orange and brown color with shape and structure described as: fur, head, body and legs.",A dog in orange and brown color whose appearance is dominated by orange and brown tones.,orange and brown animal,Strictly select the orange dog mask and exclude every other object and background pixel.,Focus the segmentation on the orange dog region as the main animal.
18,dog5,orange and brown dog,"a dog in orange and brown color with fur, head, body and legs.",Segment only the orange dog in the scene.,Ignore all other objects and background; segment only the orange dog.,A dog in orange and brown color.,"A dog in orange and brown color showing fur, head, body and legs as a distinct orange and brown animal.","orange dog, animal",a dog in orange and brown color as the main animal.,"A dog in orange and brown color with clear fur, head, body and legs, standing out from the background.","A dog in orange and brown color, detailed animal object with fur, head, body and legs.",a dog in orange and brown color.,"A dog in orange and brown color that can be recognized as a animal with fur, head, body and legs.","A dog in orange and brown color acting as the primary animal in the image, characterized by fur, head, body and legs.",orange and brown dog,"fur, head, body and legs animal orange dog",A distinctive animal: orange dog.,"Unique animal instance, namely a dog in orange and brown color.",A dog in orange and brown color is visible in the scene.,"A dog in orange and brown color with fur, head, body and legs is located prominently.",A dog in orange and brown color serving as a animal region.,A dog in orange and brown color appears as the key animal.,"orange and brown dog, a animal with fur, head, body and legs.",The object is a dog in orange and brown color.,orange dog,animal orange dog,"object=dog; type=animal; color=orange and brown; detail=fur, head, body and legs",a dog in orange and brown color.,"A dog in orange and brown color with shape and structure described as: fur, head, body and legs.",A dog in orange and brown color whose appearance is dominated by orange and brown tones.,orange and brown animal,Strictly select the orange dog mask and exclude every other object and background pixel.,Focus the segmentation on the orange dog region as the main animal.
19,dog6,brown and orange dog,"a dog in brown and orange color with fur, head, body and legs.",Segment only the brown dog in the scene.,Ignore all other objects and background; segment only the brown dog.,A dog in brown and orange color.,"A dog in brown and orange color showing fur, head, body and legs as a distinct brown and orange animal.","brown dog, animal",a dog in brown and orange color as the main animal.,"A dog in brown and orange color with clear fur, head, body and legs, standing out from the background.","A dog in brown and orange color, detailed animal object with fur, head, body and legs.",a dog in brown and orange color.,"A dog in brown and orange color that can be recognized as a animal with fur, head, body and legs.","A dog in brown and orange color acting as the primary animal in the image, characterized by fur, head, body and legs.",brown and orange dog,"fur, head, body and legs animal brown dog",A distinctive animal: brown dog.,"Unique animal instance, namely a dog in brown and orange color.",A dog in brown and orange color is visible in the scene.,"A dog in brown and orange color with fur, head, body and legs is located prominently.",A dog in brown and orange color serving as a animal region.,A dog in brown and orange color appears as the key animal.,"brown and orange dog, a animal with fur, head, body and legs.",The object is a dog in brown and orange color.,brown dog,animal brown dog,"object=dog; type=animal; color=brown and orange; detail=fur, head, body and legs",a dog in brown and orange color.,"A dog in brown and orange color with shape and structure described as: fur, head, body and legs.",A dog in brown and orange color whose appearance is dominated by brown and orange tones.,brown and orange animal,Strictly select the brown dog mask and exclude every other object and background pixel.,Focus the segmentation on the brown dog region as the main animal.
20,dog7,gray and white dog,"a dog in gray and white color with fur, head, body and legs.",Segment only the gray dog in the scene.,Ignore all other objects and background; segment only the gray dog.,A dog in gray and white color.,"A dog in gray and white color showing fur, head, body and legs as a distinct gray and white animal.","gray dog, animal",a dog in gray and white color as the main animal.,"A dog in gray and white color with clear fur, head, body and legs, standing out from the background.","A dog in gray and white color, detailed animal object with fur, head, body and legs.",a dog in gray and white color.,"A dog in gray and white color that can be recognized as a animal with fur, head, body and legs.","A dog in gray and white color acting as the primary animal in the image, characterized by fur, head, body and legs.",gray and white dog,"fur, head, body and legs animal gray dog",A distinctive animal: gray dog.,"Unique animal instance, namely a dog in gray and white color.",A dog in gray and white color is visible in the scene.,"A dog in gray and white color with fur, head, body and legs is located prominently.",A dog in gray and white color serving as a animal region.,A dog in gray and white color appears as the key animal.,"gray and white dog, a animal with fur, head, body and legs.",The object is a dog in gray and white color.,gray dog,animal gray dog,"object=dog; type=animal; color=gray and white; detail=fur, head, body and legs",a dog in gray and white color.,"A dog in gray and white color with shape and structure described as: fur, head, body and legs.",A dog in gray and white color whose appearance is dominated by gray and white tones.,gray and white animal,Strictly select the gray dog mask and exclude every other object and background pixel.,Focus the segmentation on the gray dog region as the main animal.
21,dog8,brown and black dog,"a dog in brown and black color with fur, head, body and legs.",Segment only the brown dog in the scene.,Ignore all other objects and background; segment only the brown dog.,A dog in brown and black color.,"A dog in brown and black color showing fur, head, body and legs as a distinct brown and black animal.","brown dog, animal",a dog in brown and black color as the main animal.,"A dog in brown and black color with clear fur, head, body and legs, standing out from the background.","A dog in brown and black color, detailed animal object with fur, head, body and legs.",a dog in brown and black color.,"A dog in brown and black color that can be recognized as a animal with fur, head, body and legs.","A dog in brown and black color acting as the primary animal in the image, characterized by fur, head, body and legs.",brown and black dog,"fur, head, body and legs animal brown dog",A distinctive animal: brown dog.,"Unique animal instance, namely a dog in brown and black color.",A dog in brown and black color is visible in the scene.,"A dog in brown and black color with fur, head, body and legs is located prominently.",A dog in brown and black color serving as a animal region.,A dog in brown and black color appears as the key animal.,"brown and black dog, a animal with fur, head, body and legs.",The object is a dog in brown and black color.,brown dog,animal brown dog,"object=dog; type=animal; color=brown and black; detail=fur, head, body and legs",a dog in brown and black color.,"A dog in brown and black color with shape and structure described as: fur, head, body and legs.",A dog in brown and black color whose appearance is dominated by brown and black tones.,brown and black animal,Strictly select the brown dog mask and exclude every other object and background pixel.,Focus the segmentation on the brown dog region as the main animal.
22,duck_toy,yellow and brown duck toy,a duck toy in yellow and brown color with a small stylized duck body with a beak.,Segment only the yellow duck toy in the scene.,Ignore all other objects and background; segment only the yellow duck toy.,A duck toy in yellow and brown color.,A duck toy in yellow and brown color showing a small stylized duck body with a beak as a distinct yellow and brown toy.,"yellow duck toy, toy",a duck toy in yellow and brown color as the main toy.,"A duck toy in yellow and brown color with clear a small stylized duck body with a beak, standing out from the background.","A duck toy in yellow and brown color, detailed toy object with a small stylized duck body with a beak.",a duck toy in yellow and brown color.,A duck toy in yellow and brown color that can be recognized as a toy with a small stylized duck body with a beak.,"A duck toy in yellow and brown color acting as the primary toy in the image, characterized by a small stylized duck body with a beak.",yellow and brown duck toy,a small stylized duck body with a beak toy yellow duck toy,A distinctive toy: yellow duck toy.,"Unique toy instance, namely a duck toy in yellow and brown color.",A duck toy in yellow and brown color is visible in the scene.,A duck toy in yellow and brown color with a small stylized duck body with a beak is located prominently.,A duck toy in yellow and brown color serving as a toy region.,A duck toy in yellow and brown color appears as the key toy.,"yellow and brown duck toy, a toy with a small stylized duck body with a beak.",The object is a duck toy in yellow and brown color.,yellow duck toy,toy yellow duck toy,object=duck toy; type=toy; color=yellow and brown; detail=a small stylized duck body with a beak,a duck toy in yellow and brown color.,A duck toy in yellow and brown color with shape and structure described as: a small stylized duck body with a beak.,A duck toy in yellow and brown color whose appearance is dominated by yellow and brown tones.,yellow and brown toy,Strictly select the yellow duck toy mask and exclude every other object and background pixel.,Focus the segmentation on the yellow duck toy region as the main toy.
23,elephant,brown and gray elephant figure,"an elephant figure in brown and gray color with a body with a trunk, large ears and four legs.",Segment only the brown elephant figure in the scene.,Ignore all other objects and background; segment only the brown elephant figure.,An elephant figure in brown and gray color.,"An elephant figure in brown and gray color showing a body with a trunk, large ears and four legs as a distinct brown and gray animal figure.","brown elephant figure, animal figure",an elephant figure in brown and gray color as the main animal figure.,"An elephant figure in brown and gray color with clear a body with a trunk, large ears and four legs, standing out from the background.","An elephant figure in brown and gray color, detailed animal figure object with a body with a trunk, large ears and four legs.",an elephant figure in brown and gray color.,"An elephant figure in brown and gray color that can be recognized as a animal figure with a body with a trunk, large ears and four legs.","An elephant figure in brown and gray color acting as the primary animal figure in the image, characterized by a body with a trunk, large ears and four legs.",brown and gray elephant figure,"a body with a trunk, large ears and four legs animal figure brown elephant figure",A distinctive animal figure: brown elephant figure.,"Unique animal figure instance, namely an elephant figure in brown and gray color.",An elephant figure in brown and gray color is visible in the scene.,"An elephant figure in brown and gray color with a body with a trunk, large ears and four legs is located prominently.",An elephant figure in brown and gray color serving as a animal figure region.,An elephant figure in brown and gray color appears as the key animal figure.,"brown and gray elephant figure, a animal figure with a body with a trunk, large ears and four legs.",The object is an elephant figure in brown and gray color.,brown elephant figure,animal figure brown elephant figure,"object=elephant figure; type=animal figure; color=brown and gray; detail=a body with a trunk, large ears and four legs",an elephant figure in brown and gray color.,"An elephant figure in brown and gray color with shape and structure described as: a body with a trunk, large ears and four legs.",An elephant figure in brown and gray color whose appearance is dominated by brown and gray tones.,brown and gray animal figure,Strictly select the brown elephant figure mask and exclude every other object and background pixel.,Focus the segmentation on the brown elephant figure region as the main animal figure.
24,fancy_boot,white and brown fancy boot,a fancy boot in white and brown color with a decorated boot with a visible upper and sole.,Segment only the white fancy boot in the scene.,Ignore all other objects and background; segment only the white fancy boot.,A fancy boot in white and brown color.,A fancy boot in white and brown color showing a decorated boot with a visible upper and sole as a distinct white and brown shoe.,"white fancy boot, shoe",a fancy boot in white and brown color as the main shoe.,"A fancy boot in white and brown color with clear a decorated boot with a visible upper and sole, standing out from the background.","A fancy boot in white and brown color, detailed shoe object with a decorated boot with a visible upper and sole.",a fancy boot in white and brown color.,A fancy boot in white and brown color that can be recognized as a shoe with a decorated boot with a visible upper and sole.,"A fancy boot in white and brown color acting as the primary shoe in the image, characterized by a decorated boot with a visible upper and sole.",white and brown fancy boot,a decorated boot with a visible upper and sole shoe white fancy boot,A distinctive shoe: white fancy boot.,"Unique shoe instance, namely a fancy boot in white and brown color.",A fancy boot in white and brown color is visible in the scene.,A fancy boot in white and brown color with a decorated boot with a visible upper and sole is located prominently.,A fancy boot in white and brown color serving as a shoe region.,A fancy boot in white and brown color appears as the key shoe.,"white and brown fancy boot, a shoe with a decorated boot with a visible upper and sole.",The object is a fancy boot in white and brown color.,white fancy boot,shoe white fancy boot,object=fancy boot; type=shoe; color=white and brown; detail=a decorated boot with a visible upper and sole,a fancy boot in white and brown color.,A fancy boot in white and brown color with shape and structure described as: a decorated boot with a visible upper and sole.,A fancy boot in white and brown color whose appearance is dominated by white and brown tones.,white and brown shoe,Strictly select the white fancy boot mask and exclude every other object and background pixel.,Focus the segmentation on the white fancy boot region as the main shoe.
25,grey_sloth_plushie,brown and red grey sloth plush toy,a grey sloth plush toy in brown and red color with soft fabric body with long limbs and a sloth face.,Segment only the brown grey sloth plush toy in the scene.,Ignore all other objects and background; segment only the brown grey sloth plush toy.,A grey sloth plush toy in brown and red color.,A grey sloth plush toy in brown and red color showing soft fabric body with long limbs and a sloth face as a distinct brown and red plush toy.,"brown grey sloth plush toy, plush toy",a grey sloth plush toy in brown and red color as the main plush toy.,"A grey sloth plush toy in brown and red color with clear soft fabric body with long limbs and a sloth face, standing out from the background.","A grey sloth plush toy in brown and red color, detailed plush toy object with soft fabric body with long limbs and a sloth face.",a grey sloth plush toy in brown and red color.,A grey sloth plush toy in brown and red color that can be recognized as a plush toy with soft fabric body with long limbs and a sloth face.,"A grey sloth plush toy in brown and red color acting as the primary plush toy in the image, characterized by soft fabric body with long limbs and a sloth face.",brown and red grey sloth plush toy,soft fabric body with long limbs and a sloth face plush toy brown grey sloth plush toy,A distinctive plush toy: brown grey sloth plush toy.,"Unique plush toy instance, namely a grey sloth plush toy in brown and red color.",A grey sloth plush toy in brown and red color is visible in the scene.,A grey sloth plush toy in brown and red color with soft fabric body with long limbs and a sloth face is located prominently.,A grey sloth plush toy in brown and red color serving as a plush toy region.,A grey sloth plush toy in brown and red color appears as the key plush toy.,"brown and red grey sloth plush toy, a plush toy with soft fabric body with long limbs and a sloth face.",The object is a grey sloth plush toy in brown and red color.,brown grey sloth plush toy,plush toy brown grey sloth plush toy,object=grey sloth plush toy; type=plush toy; color=brown and red; detail=soft fabric body with long limbs and a sloth face,a grey sloth plush toy in brown and red color.,A grey sloth plush toy in brown and red color with shape and structure described as: soft fabric body with long limbs and a sloth face.,A grey sloth plush toy in brown and red color whose appearance is dominated by brown and red tones.,brown and red plush toy,Strictly select the brown grey sloth plush toy mask and exclude every other object and background pixel.,Focus the segmentation on the brown grey sloth plush toy region as the main plush toy.
26,monster_toy,red monster toy,a monster toy in red color with a stylized creature body with exaggerated features.,Segment only the red monster toy in the scene.,Ignore all other objects and background; segment only the red monster toy.,A monster toy in red color.,A monster toy in red color showing a stylized creature body with exaggerated features as a distinct red toy figure.,"red monster toy, toy figure",a monster toy in red color as the main toy figure.,"A monster toy in red color with clear a stylized creature body with exaggerated features, standing out from the background.","A monster toy in red color, detailed toy figure object with a stylized creature body with exaggerated features.",a monster toy in red color.,A monster toy in red color that can be recognized as a toy figure with a stylized creature body with exaggerated features.,"A monster toy in red color acting as the primary toy figure in the image, characterized by a stylized creature body with exaggerated features.",red monster toy,a stylized creature body with exaggerated features toy figure red monster toy,A distinctive toy figure: red monster toy.,"Unique toy figure instance, namely a monster toy in red color.",A monster toy in red color is visible in the scene.,A monster toy in red color with a stylized creature body with exaggerated features is located prominently.,A monster toy in red color serving as a toy figure region.,A monster toy in red color appears as the key toy figure.,"red monster toy, a toy figure with a stylized creature body with exaggerated features.",The object is a monster toy in red color.,red monster toy,toy figure red monster toy,object=monster toy; type=toy figure; color=red; detail=a stylized creature body with exaggerated features,a monster toy in red color.,A monster toy in red color with shape and structure described as: a stylized creature body with exaggerated features.,A monster toy in red color whose appearance is dominated by red tones.,red toy figure,Strictly select the red monster toy mask and exclude every other object and background pixel.,Focus the segmentation on the red monster toy region as the main toy figure.
27,poop_emoji,red and brown poop emoji toy,a poop emoji toy in red and brown color with a stylized swirl shape representing the poop emoji face.,Segment only the red poop emoji toy in the scene.,Ignore all other objects and background; segment only the red poop emoji toy.,A poop emoji toy in red and brown color.,A poop emoji toy in red and brown color showing a stylized swirl shape representing the poop emoji face as a distinct red and brown toy.,"red poop emoji toy, toy",a poop emoji toy in red and brown color as the main toy.,"A poop emoji toy in red and brown color with clear a stylized swirl shape representing the poop emoji face, standing out from the background.","A poop emoji toy in red and brown color, detailed toy object with a stylized swirl shape representing the poop emoji face.",a poop emoji toy in red and brown color.,A poop emoji toy in red and brown color that can be recognized as a toy with a stylized swirl shape representing the poop emoji face.,"A poop emoji toy in red and brown color acting as the primary toy in the image, characterized by a stylized swirl shape representing the poop emoji face.",red and brown poop emoji toy,a stylized swirl shape representing the poop emoji face toy red poop emoji toy,A distinctive toy: red poop emoji toy.,"Unique toy instance, namely a poop emoji toy in red and brown color.",A poop emoji toy in red and brown color is visible in the scene.,A poop emoji toy in red and brown color with a stylized swirl shape representing the poop emoji face is located prominently.,A poop emoji toy in red and brown color serving as a toy region.,A poop emoji toy in red and brown color appears as the key toy.,"red and brown poop emoji toy, a toy with a stylized swirl shape representing the poop emoji face.",The object is a poop emoji toy in red and brown color.,red poop emoji toy,toy red poop emoji toy,object=poop emoji toy; type=toy; color=red and brown; detail=a stylized swirl shape representing the poop emoji face,a poop emoji toy in red and brown color.,A poop emoji toy in red and brown color with shape and structure described as: a stylized swirl shape representing the poop emoji face.,A poop emoji toy in red and brown color whose appearance is dominated by red and brown tones.,red and brown toy,Strictly select the red poop emoji toy mask and exclude every other object and background pixel.,Focus the segmentation on the red poop emoji toy region as the main toy.
